date,age,visit_count,visit_7day_mean,baseline,baseline_lowerbound,baseline_upperbound,ed_count
2022-01-01,0-19,378,295.285714285714,507.172463537506,324.738010170102,689.606916904911,28
2022-01-02,0-19,265,297.428571428571,507.370274072738,324.899956582214,689.840591563261,28
2022-01-03,0-19,319,293.857142857143,507.576200750773,325.06856190572,690.083839595826,28
2022-01-04,0-19,286,293.142857142857,507.790236454745,325.243821197618,690.336651711872,28
2022-01-05,0-19,304,299.571428571429,508.012372049221,325.42572789305,690.599016205391,28
2022-01-06,0-19,315,299.571428571429,508.242596378646,325.614273803423,690.870918953868,28
2022-01-07,0-19,306,300.142857142857,508.480896265961,325.809449114625,691.152343417298,28
2022-01-08,0-19,316,305.0,508.727256511418,326.011242385358,691.443270637477,28
2022-01-09,0-19,309,309.857142857143,508.981659891566,326.219640545573,691.743679237559,28
2022-01-10,0-19,315,310.0,509.244087158452,326.434628895022,692.053545421882,28
2022-01-11,0-19,341,317.714285714286,509.514517039009,326.656191101936,692.372842976082,28
2022-01-12,0-19,328,315.857142857143,509.792926234648,326.884309201814,692.701543267483,28
2022-01-13,0-19,338,322.714285714286,510.079289421068,327.118963596351,693.039615245785,28
2022-01-14,0-19,383,334.428571428571,510.373579248275,327.360133052501,693.387025444048,28
2022-01-15,0-19,338,336.285714285714,510.675766340823,327.607794701674,693.743737979972,28
2022-01-16,0-19,362,345.428571428571,510.985819298288,327.861924039083,694.109714557494,28
2022-01-17,0-19,329,344.857142857143,511.303704695976,328.122494923247,694.484914468705,28
2022-01-18,0-19,340,346.857142857143,511.629387085871,328.389479575652,694.869294596091,28
2022-01-19,0-19,358,350.428571428571,511.962828997836,328.662848580574,695.262809415098,28
2022-01-20,0-19,349,350.428571428571,512.303990941073,328.942570885087,695.665410997059,28
2022-01-21,0-19,350,344.285714285714,512.652831405847,329.228613799244,696.07704901245,28
2022-01-22,0-19,353,348.714285714286,513.009306865485,329.52094299645,696.497670734519,28
2022-01-23,0-19,402,354.428571428571,513.373371778661,329.819522514039,696.927221043284,28
2022-01-24,0-19,380,360.571428571429,513.744978591975,330.12431475405,697.365642429899,28
2022-01-25,0-19,333,361.285714285714,514.124077742822,330.435280484223,697.812875001421,28
2022-01-26,0-19,338,359.285714285714,514.510617662591,330.75237883922,698.268856485963,28
2022-01-27,0-19,296,351.571428571429,514.90454478017,331.075567322075,698.733522238265,28
2022-01-28,0-19,332,341.571428571429,515.305803525787,331.404801805896,699.206805245678,28
2022-01-29,0-19,370,350.857142857143,515.714336335196,331.740036535809,699.688636134583,28
2022-01-30,0-19,322,339.0,516.130083654208,332.081224131175,700.178943177242,28
2022-01-31,0-19,342,333.285714285714,516.552983943591,332.428315588073,700.677652299109,28
2022-02-01,0-19,310,325.571428571429,516.982973684336,332.78126028207,701.184687086602,28
2022-02-02,0-19,304,326.428571428571,517.419987383313,333.14000597128,701.699968795346,28
2022-02-03,0-19,332,331.714285714286,517.86395757932,333.504498799735,702.223416358905,28
2022-02-04,0-19,378,335.714285714286,518.314814849538,333.874683301063,702.754946398013,28
2022-02-05,0-19,348,335.285714285714,518.772487816403,334.250502402495,703.29447323031,28
2022-02-06,0-19,308,333.0,519.23690315491,334.631897429214,703.841908880607,28
2022-02-07,0-19,323,331.857142857143,519.707985600358,335.018808109039,704.397163091677,28
2022-02-08,0-19,368,337.0,520.18565795654,335.411172577482,704.960143335598,28
2022-02-09,0-19,387,347.285714285714,520.669841104408,335.808927383166,705.53075482565,28
2022-02-10,0-19,327,346.428571428571,521.160454011209,336.212007493633,706.108900528785,28
2022-02-11,0-19,350,344.571428571429,521.657413740105,336.620346301533,706.694481178676,28
2022-02-12,0-19,382,351.857142857143,522.160635460303,337.033875631235,707.287395289372,28
2022-02-13,0-19,382,359.714285714286,522.670032457685,337.452525745833,707.887539169538,28
2022-02-14,0-19,323,358.142857142857,523.18551614597,337.8762253546,708.49480693734,28
2022-02-15,0-19,317,355.428571428571,523.706996078405,338.304901620868,709.109090535942,28
2022-02-16,0-19,308,339.857142857143,524.234379960008,338.738480170361,709.730279749656,28
2022-02-17,0-19,303,336.285714285714,524.767573660366,339.176885099991,710.358262220742,28
2022-02-18,0-19,284,330.571428571429,525.306481227008,339.620038987133,710.992923466884,28
2022-02-19,0-19,371,328.571428571429,525.85100489935,340.06786289937,711.63414689933,28
2022-02-20,0-19,358,318.571428571429,526.401045123243,340.520276404747,712.281813841739,28
2022-02-21,0-19,336,327.857142857143,526.95650056612,340.977197582525,712.935803549714,28
2022-02-22,0-19,333,329.428571428571,527.51726813276,341.438543034456,713.595993231063,28
2022-02-23,0-19,375,337.571428571429,528.083242981676,341.904227896581,714.262258066771,28
2022-02-24,0-19,332,342.571428571429,528.654318542142,342.374165851572,714.934471232712,28
2022-02-25,0-19,339,350.0,529.230386531864,342.848269141622,715.612503922107,28
2022-02-26,0-19,407,353.857142857143,529.811336975313,343.326448581892,716.296225368734,28
2022-02-27,0-19,385,358.428571428571,530.397058222717,343.80861357453,716.985502870905,28
2022-02-28,0-19,329,356.714285714286,530.987436969741,344.294672123267,717.680201816215,28
2022-03-01,0-19,336,355.0,531.582358277841,344.784530848605,718.380185707077,28
2022-03-02,0-19,345,354.571428571429,532.181705595323,345.2780950036,719.085316187045,28
2022-03-03,0-19,357,356.0,532.785360779099,345.775268490253,719.795453067945,28
2022-03-04,0-19,371,363.142857142857,533.393204117159,346.275953876512,720.510454357806,28
2022-03-05,0-19,381,358.857142857143,534.005114351759,346.780052413908,721.23017628961,28
2022-03-06,0-19,361,355.285714285714,534.620968703342,347.287464055813,721.95447335087,28
2022-03-07,0-19,353,352.428571428571,535.240642895185,347.798087476339,722.68319831403,28
2022-03-08,0-19,365,354.571428571429,535.864011178798,348.311820089889,723.416202267707,28
2022-03-09,0-19,379,369.428571428571,536.490946360059,348.828558071352,724.153334648767,28
2022-03-10,0-19,347,367.142857142857,537.121319826112,349.348196376965,724.894443275258,28
2022-03-11,0-19,409,373.0,537.755001573011,349.87062876584,725.639374380183,28
2022-03-12,0-19,441,380.571428571429,538.391860234146,350.395747822156,726.387972646136,28
2022-03-13,0-19,428,390.0,539.03176310941,350.923444978031,727.140081240789,28
2022-03-14,0-19,399,398.142857142857,539.674576195162,351.453610537076,727.895541853247,28
2022-03-15,0-19,358,394.714285714286,540.320164214945,351.986133698631,728.654194731259,28
2022-03-16,0-19,372,388.142857142857,540.968390650993,352.520902582686,729.4158787193,28
2022-03-17,0-19,360,397.0,541.619117776504,353.057804255499,730.180431297508,28
2022-03-18,0-19,396,393.0,542.2722066887,353.596724755903,730.947688621497,28
2022-03-19,0-19,428,391.285714285714,542.927517342668,354.137549122307,731.717485563029,28
2022-03-20,0-19,434,392.142857142857,543.584908585969,354.680161420396,732.489655751543,28
2022-03-21,0-19,378,389.571428571429,544.244238194043,355.224444771529,733.264031616558,28
2022-03-22,0-19,390,395.714285714286,544.905362906372,355.770281381825,734.040444430921,28
2022-03-23,0-19,414,401.0,545.568138463436,356.317552571956,734.818724354916,28
2022-03-24,0-19,394,403.714285714286,546.232419644426,356.866138807631,735.598700481221,28
2022-03-25,0-19,432,408.714285714286,546.898060305735,357.415919730764,736.380200880707,28
2022-03-26,0-19,476,415.571428571429,547.564913420214,357.96677419135,737.163052649078,28
2022-03-27,0-19,483,424.428571428571,548.232831117176,358.51858028001,737.947081954342,28
2022-03-28,0-19,390,422.428571428571,548.901664723168,359.07121536123,738.732114085106,28
2022-03-29,0-19,398,426.714285714286,549.571264803481,359.624556107278,739.517973499683,28
2022-03-30,0-19,400,426.142857142857,550.241481204395,360.178478532784,740.304483876006,28
2022-03-31,0-19,355,413.0,550.912163096171,360.73285803,741.091468162342,28
2022-04-01,0-19,387,430.285714285714,576.083407493886,374.393745070163,777.77306991761,30
2022-04-02,0-19,437,422.857142857143,576.784376918603,374.971416094661,778.597337742546,30
2022-04-03,0-19,393,406.714285714286,577.485356146318,375.549171538957,779.421540753679,30
2022-04-04,0-19,377,396.285714285714,578.186185287356,376.126879472571,780.24549110214,30
2022-04-05,0-19,387,397.714285714286,578.886703981544,376.704407509661,781.069000453427,30
2022-04-06,0-19,393,397.142857142857,579.586751447457,377.281622849707,781.891880045207,30
2022-04-07,0-19,396,398.571428571429,580.286166532341,377.858392318834,782.713940745847,30
2022-04-08,0-19,415,402.857142857143,580.984787762705,378.434582411751,783.53499311366,30
2022-04-09,0-19,434,401.714285714286,581.68245339557,379.010059334291,784.354847456848,30
2022-04-10,0-19,415,404.142857142857,582.379001470326,379.584689046544,785.173313894108,30
2022-04-11,0-19,390,402.285714285714,583.074269861229,380.158337306559,785.990202415898,30
2022-04-12,0-19,384,404.428571428571,583.768096330477,380.730869714615,786.805322946339,30
2022-04-13,0-19,442,409.428571428571,584.460318581866,381.30215175802,787.618485405712,30
